"module name","licenses","repository","licenseUrl","parents"
"json-schema-traverse@0.3.1","MIT","https://github.com/epoberezkin/json-schema-traverse","https://github.com/epoberezkin/json-schema-traverse/raw/master/LICENSE","jquery-ui-form-builder"
"json-schema@0.2.3","AFLv2.1,BSD","https://github.com/kriszyp/json-schema","http://trac.dojotoolkit.org/browser/dojo/trunk/LICENSE#L43,http://trac.dojotoolkit.org/browser/dojo/trunk/LICENSE#L13","jquery-ui-form-builder"
"json-stable-stringify@0.0.1","MIT","https://github.com/substack/json-stable-stringify","https://github.com/substack/json-stable-stringify/raw/master/LICENSE","jquery-ui-form-builder"
"json-stable-stringify@1.0.1","MIT","https://github.com/substack/json-stable-stringify","https://github.com/substack/json-stable-stringify/raw/master/LICENSE","fsevents:jquery-ui-form-builder"
"json-stringify-safe@5.0.1","ISC","https://github.com/isaacs/json-stringify-safe","https://github.com/isaacs/json-stringify-safe/raw/master/LICENSE","jquery-ui-form-builder"
"jsonfile@2.4.0","MIT","https://github.com/jprichardson/node-jsonfile","https://github.com/jprichardson/node-jsonfile/raw/master/LICENSE","jquery-ui-form-builder"
"jsonify@0.0.0","Public Domain","https://github.com/substack/jsonify","https://github.com/substack/jsonify","jquery-ui-form-builder"
"jsonparse@0.0.5","MIT","https://github.com/creationix/jsonparse","https://github.com/creationix/jsonparse/raw/master/LICENSE","JSONStream:jquery-ui-form-builder"
"jsonparse@1.3.1","MIT","https://github.com/creationix/jsonparse","https://github.com/creationix/jsonparse/raw/master/LICENSE","jquery-ui-form-builder"
"jsprim@1.4.0","MIT","https://github.com/joyent/node-jsprim","https://github.com/joyent/node-jsprim/raw/master/LICENSE","fsevents:jquery-ui-form-builder"
"jsprim@1.4.1","MIT","https://github.com/joyent/node-jsprim","https://github.com/joyent/node-jsprim/raw/master/LICENSE","jquery-ui-form-builder"
"kind-of@3.2.2","MIT","https://github.com/jonschlinkert/kind-of","https://github.com/jonschlinkert/kind-of/raw/master/LICENSE","is-number:jquery-ui-form-builder"
"kind-of@4.0.0","MIT","https://github.com/jonschlinkert/kind-of","https://github.com/jonschlinkert/kind-of/raw/master/LICENSE","has-values:jquery-ui-form-builder"
"kind-of@5.1.0","MIT","https://github.com/jonschlinkert/kind-of","https://github.com/jonschlinkert/kind-of/raw/master/LICENSE","class-utils:jquery-ui-form-builder"
"kind-of@6.0.2","MIT","https://github.com/jonschlinkert/kind-of","https://github.com/jonschlinkert/kind-of/raw/master/LICENSE","jquery-ui-form-builder"
"labeled-stream-splicer@1.0.2","MIT","https://github.com/substack/labeled-stream-splicer","https://github.com/substack/labeled-stream-splicer/raw/master/LICENSE","jquery-ui-form-builder"
"labeled-stream-splicer@2.0.0","MIT","https://github.com/substack/labeled-stream-splicer","https://github.com/substack/labeled-stream-splicer/raw/master/LICENSE","watchify:jquery-ui-form-builder"
"lazy-cache@1.0.4","MIT","https://github.com/jonschlinkert/lazy-cache","https://github.com/jonschlinkert/lazy-cache/raw/master/LICENSE","center-align:jquery-ui-form-builder"
"lazy-cache@2.0.2","MIT","https://github.com/jonschlinkert/lazy-cache","https://github.com/jonschlinkert/lazy-cache/raw/master/LICENSE","jquery-ui-form-builder"
"lazy-debug-legacy@0.0.1","MIT","https://github.com/apihlaja/lazy-debug","https://github.com/apihlaja/lazy-debug/raw/master/LICENSE.md","jquery-ui-form-builder"
"lcid@1.0.0","MIT","https://github.com/sindresorhus/lcid","https://github.com/sindresorhus/lcid/raw/master/license","jquery-ui-form-builder"
"lexical-scope@1.2.0","MIT","https://github.com/substack/lexical-scope","https://github.com/substack/lexical-scope/raw/master/LICENSE","jquery-ui-form-builder"
"liftoff@2.5.0","MIT","https://github.com/js-cli/js-liftoff","https://github.com/js-cli/js-liftoff/raw/master/LICENSE","jquery-ui-form-builder"
"load-json-file@1.1.0","MIT","https://github.com/sindresorhus/load-json-file","https://github.com/sindresorhus/load-json-file/raw/master/license","jquery-ui-form-builder"
"lodash._arraycopy@3.0.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash._arrayeach@3.0.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash._baseassign@3.2.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash._baseclone@3.3.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash._basecopy@3.0.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash._basefor@3.0.3","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash._basetostring@3.0.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash._basevalues@3.0.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash._bindcallback@3.0.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash._createassigner@3.1.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash._getnative@3.9.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash._isiterateecall@3.0.9","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash._reescape@3.0.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash._reevaluate@3.0.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash._reinterpolate@3.0.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash._root@3.0.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash.assign@3.2.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash.assign@4.2.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","marked-terminal:jquery-ui-form-builder"
"lodash.clonedeep@3.0.2","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash.clonedeep@4.5.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","gulp-sass:jquery-ui-form-builder"
"lodash.defaults@3.1.2","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash.escape@3.2.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash.isarguments@3.1.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash.isarray@3.0.4","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash.keys@3.1.2","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash.memoize@3.0.4","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash.restparam@3.6.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","jquery-ui-form-builder"
"lodash.template@3.6.2","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash.templatesettings@3.1.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash.toarray@4.4.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash@1.0.2","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","globule:jquery-ui-form-builder"
"lodash@3.10.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","jquery-ui-form-builder"
"lodash@4.17.4","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","modernizr:jquery-ui-form-builder"
"longest@1.0.1","MIT","https://github.com/jonschlinkert/longest","https://github.com/jonschlinkert/longest/blob/master/LICENSE","jquery-ui-form-builder"
"loud-rejection@1.6.0","MIT","https://github.com/sindresorhus/loud-rejection","https://github.com/sindresorhus/loud-rejection/raw/master/license","jquery-ui-form-builder"
"lru-cache@2.7.3","ISC","https://github.com/isaacs/node-lru-cache","https://github.com/isaacs/node-lru-cache/raw/master/LICENSE","jquery-ui-form-builder"
"lru-cache@4.1.1","ISC","https://github.com/isaacs/node-lru-cache","https://github.com/isaacs/node-lru-cache/raw/master/LICENSE","cross-spawn:jquery-ui-form-builder"
"make-iterator@1.0.0","MIT","https://github.com/jonschlinkert/make-iterator","https://github.com/jonschlinkert/make-iterator/raw/master/LICENSE","jquery-ui-form-builder"
"map-cache@0.2.2","MIT","https://github.com/jonschlinkert/map-cache","https://github.com/jonschlinkert/map-cache/raw/master/LICENSE","jquery-ui-form-builder"
"map-obj@1.0.1","MIT","https://github.com/sindresorhus/map-obj","https://github.com/sindresorhus/map-obj/raw/master/license","jquery-ui-form-builder"
"map-visit@1.0.0","MIT","https://github.com/jonschlinkert/map-visit","https://github.com/jonschlinkert/map-visit/raw/master/LICENSE","jquery-ui-form-builder"
"marked-terminal@2.0.0","MIT","https://github.com/mikaelbr/marked-terminal","https://github.com/mikaelbr/marked-terminal","jquery-ui-form-builder"
"marked@0.3.12","MIT","https://github.com/chjj/marked","https://github.com/chjj/marked/raw/master/LICENSE","jquery-ui-form-builder"
"md5.js@1.3.4","MIT","https://github.com/crypto-browserify/md5.js","https://github.com/crypto-browserify/md5.js/raw/master/LICENSE","jquery-ui-form-builder"
"meow@3.7.0","MIT","https://github.com/sindresorhus/meow","https://github.com/sindresorhus/meow/raw/master/license","jquery-ui-form-builder"
"micromatch@2.3.11","MIT","https://github.com/jonschlinkert/micromatch","https://github.com/jonschlinkert/micromatch/raw/master/LICENSE","anymatch:jquery-ui-form-builder"
"micromatch@3.1.5","MIT","https://github.com/micromatch/micromatch","https://github.com/micromatch/micromatch/raw/master/LICENSE","jquery-ui-form-builder"
"miller-rabin@4.0.1","MIT","https://github.com/indutny/miller-rabin","https://github.com/indutny/miller-rabin","jquery-ui-form-builder"
"mime-db@1.27.0","MIT","https://github.com/jshttp/mime-db","https://github.com/jshttp/mime-db/raw/master/LICENSE","fsevents:jquery-ui-form-builder"
"mime-db@1.30.0","MIT","https://github.com/jshttp/mime-db","https://github.com/jshttp/mime-db/raw/master/LICENSE","jquery-ui-form-builder"
